queries,files
Minimum-Aperture-22---32,CameraLens.json
0.38-m,CameraLens.json
Aperture-with-Max-Focal-Length,CameraLens.json
Lens-Case-No,CameraLens.json
Aperture-with-Min-Focal-Length-f/22---32,CameraLens.json
Aperture-with-Max-Focal-Length-f/3.5-5.6G-ED-VR,CameraLens.json
Wildlife,CameraLens.json
Filter-Attachment-Size-49-mm,CameraLens.json
Weight-0.202-kg,CameraLens.json
Suitable-For,CameraLens.json
Aperture-with-Max-Focal-Length-f/3.5-5.6G,CameraLens.json
Lens-Hood-HB-39,CameraLens.json
Aperture-with-Min-Focal-Length-f/22,CameraLens.json
Minimum-Focal-Length-45-mm,CameraLens.json
Type-Fix,CameraLens.json
Sales-Package-EF-50-mm-f/1.8-STM-Lens,CameraLens.json
Drive-System-MM,CameraLens.json
Telephoto,CameraLens.json
Minimum-Focal-Length-18-mm,CameraLens.json
Aperture-with-Max-Focal-Length-f/1.8,CameraLens.json
Telephoto-Zoom,CameraLens.json
Lens-Mount-AF-S,CameraLens.json
Lens-Format-DX,CameraLens.json
f/1.8-STM,CameraLens.json
140-mm,CameraLens.json
Lens-Construction-(Elements/Groups)-12-Elements-in-10-Groups,CameraLens.json
f/1.8-G,CameraLens.json
Weight-515-g,CameraLens.json
Brand-Canon,CameraLens.json
6-Elements-in-5-Groups,CameraLens.json
Maximum-Reproduction-Ratio-0.15x,CameraLens.json
Water-Resistant-No,CameraLens.json
Dimensions,CameraLens.json
Model,CameraLens.json
Picture-Angle-with-Nikon-DX-Format-83Â°---18Â°-50â€²,CameraLens.json
Aperture-with-Min-Focal-Length-f/3.5,CameraLens.json
Minimum-Focal-Length-17-mm,CameraLens.json
0.49-m,CameraLens.json
Sales-Package,CameraLens.json
SP-45mm-Lens,CameraLens.json
f/4-5.6-IS-II,CameraLens.json
Portrait,CameraLens.json
"Lens,-Lens-Hood",CameraLens.json
Drive-System-USD,CameraLens.json
Water-Resistant-Yes,CameraLens.json
Minimum-Focal-Length-1.8,CameraLens.json
Lens-Construction-(Elements/Groups),CameraLens.json
75Â°---8Â°,CameraLens.json
Type-Zoom,CameraLens.json
Length-96-mm,CameraLens.json
39.3-mm,CameraLens.json
12-Elements-in-9-Groups,CameraLens.json
Lens-Format-FX,CameraLens.json
Maximum-Focal-Length-45-mm,CameraLens.json
Minimum-Focal-Length-16-mm,CameraLens.json
Lens-Mount-EF,CameraLens.json
Rotation,CameraLens.json
Minimum-f/stop-16,CameraLens.json
Weight-0.345-kg,CameraLens.json
A010E-Lensï¿½,CameraLens.json
Prime/Zoom-Zoom,CameraLens.json
Lens-Construction-(Elements/Groups)-19-Elements-in-15-Groups,CameraLens.json
300-mm,CameraLens.json
Lens-Hood-HB-47,CameraLens.json
0.45-m,CameraLens.json
Minimum-Focal-Length-28-mm,CameraLens.json
Weight-250-g,CameraLens.json
Color-Black,CameraLens.json
Canon-Mount,CameraLens.json
Focus-Type-Auto,CameraLens.json
Weight-513-g,CameraLens.json
Image-Stabilisation-Yes,CameraLens.json
80.4-mm,CameraLens.json
"Zoom,-Macro",CameraLens.json
Wide-angle,CameraLens.json
Lense-&-Manual,CameraLens.json
Maximum-Focal-Length-50-mm,CameraLens.json
Minimum-f/stop-22,CameraLens.json
0.23-x,CameraLens.json
Class-Close-Focusing,CameraLens.json
f/4-L-USM,CameraLens.json
Aperture-with-Max-Focal-Length-F/3.5-6.3,CameraLens.json
Picture-Angle-with-35mm-(135)-format-47Â°,CameraLens.json
Nikon-DSLRs,CameraLens.json
Designed-For,CameraLens.json
Weight-475-g,CameraLens.json
Canon-DSLRs,CameraLens.json
Minimum-Aperture-22,CameraLens.json
Nikon-Mount,CameraLens.json
Standard,CameraLens.json
Brand-Nikon,CameraLens.json
Drive-System-PZD,CameraLens.json
250-mm,CameraLens.json
Minimum-Aperture-F/16,CameraLens.json
Lens-Construction-(Elements/Groups)-18-Elements-in-13-Groups,CameraLens.json
Lens-Hood-No,CameraLens.json
Tamron,CameraLens.json
Name-Macro,CameraLens.json
Filter-Attachment-Size-67-mm,CameraLens.json
Pack-of-1,CameraLens.json
Weight-610-g,CameraLens.json
89.2-mm,CameraLens.json
69.2-mm,CameraLens.json
Maximum-Magnification-(x)-0.3,CameraLens.json
Other-Performance-Features,CameraLens.json
Journalism,CameraLens.json
Prime/Zoom-Prime,CameraLens.json
Minimum-Aperture-F/22---40,CameraLens.json
Minimum-Focal-Length-55-mm,CameraLens.json
Weight-480-g,CameraLens.json
2-Years,CameraLens.json
74.4-mm,CameraLens.json
Ring-type-USM,CameraLens.json
Lens-Case-CL-1013,CameraLens.json
Wedding-&-Events,CameraLens.json
Aperture-with-Min-Focal-Length-f/16,CameraLens.json
Auto-Focus,CameraLens.json
10-Elements-in-8-Groups,CameraLens.json
Filter-Attachment-Size-77-mm,CameraLens.json
Model-EF-17---40-mm-f/4L-USM,CameraLens.json
Maximum-Focal-Length-85-mm,CameraLens.json
Ultra-Wide-Angle,CameraLens.json
Snap-on,CameraLens.json
